3032,马台街90号小区,118.778659,32.079171,南京市鼓楼区马台街90号,江苏省,南京市,鼓楼区,1,c4fff8dafe58eea032f71d1a
3033,天福园,118.780459,32.080169,江苏省南京市鼓楼区平安里68号,江苏省,南京市,鼓楼区,1,c5ddcc08d2b897c7d913188b
3034,天福园,118.780459,32.080169,江苏省南京市鼓楼区平安里68号,江苏省,南京市,鼓楼区,1,c5ddcc08d2b897c7d913188b
3035,泰顺佳园,118.778001,32.070557,南京市鼓楼区大方巷66号,江苏省,南京市,鼓楼区,1,7524cb4fed075e3405026fa3
3036,苏宁碧瑰园,118.778785,32.070928,南京市鼓楼区傅佐路5号,江苏省,南京市,鼓楼区,1,606289fd79e21f4da30464a3
3037,平安里-76号,118.780427,32.078982,南京市鼓楼区平安里61-20号,江苏省,南京市,鼓楼区,1,a98f5e5a21628bf9f6c59c74
3038,三步两桥20-64号院,118.768773,32.078726,南京市鼓楼区三步两桥20-64号,江苏省,南京市,鼓楼区,1,8baa22b567d77ce34f3a59e0
3039,宁夏路13号院,118.770536,32.071226,南京市鼓楼区宁夏路13号,江苏省,南京市,鼓楼区,1,e254bfe1bc14531e8936eeee
3040,西康路54号-2,118.771693,32.070396,江苏省南京市鼓楼区西康路54号-2,江苏省,南京市,鼓楼区,1,603dde7197acf5c242d63efa
3041,华章新苑,118.78002,32.070601,南京市鼓楼区大方巷26号,江苏省,南京市,鼓楼区,1,7bfa08fc9b9ee07f24d2bba0
3042,琅琊新村,118.770594,32.070612,南京市鼓楼区西康路41号,江苏省,南京市,鼓楼区,1,47e9c2a01444668d7ec87629
3043,模范中路小区,118.771,32.080097,江苏省南京市鼓楼区模范中路南京饭店旁,江苏省,南京市,鼓楼区,1,503dbc211a343dfe0b69d916
3044,12号办公楼,118.785596,32.075499,南京市鼓楼区湖南路14号,江苏省,南京市,鼓楼区,1,9ed463b417acc97da1d23093
3045,华阳大厦,118.784338,32.074876,江苏省南京市鼓楼区湖南路115号,江苏省,南京市,鼓楼区,1,5508504d175202cbc6f025a3
3046,广厦大楼,118.786601,32.074832,南京市鼓楼区裴家桥29号,江苏省,南京市,鼓楼区,1,2a7a25ec01bd3b636d3e1ba3
3047,裴家桥小区,118.785712,32.074215,湖南路107号,江苏省,南京市,鼓楼区,1,34059f979984bb5470455ba3
3048,金狮公寓,118.784598,32.074503,江苏省南京市鼓楼区狮子桥步行街32号,江苏省,南京市,鼓楼区,1,b0fd8b01b2d648ac0e0a7059
3049,湖南路47号大楼,118.787126,32.07492,湖南路47号,江苏省,南京市,鼓楼区,1,5ed4b0cfea63a61249fd3f54
3050,汇鸿国际商厦,118.783414,32.074977,南京市鼓楼区湖南路181号,江苏省,南京市,鼓楼区,1,fa7da3e8b95dd86243d63ea3
3051,童家巷小区,118.784726,32.077346,南京市鼓楼区童家巷40号,江苏省,南京市,鼓楼区,1,907acf9d3eb1145d220220d2
3052,天鹤文云商务大厦,118.787215,32.073557,云南北路83号,江苏省,南京市,鼓楼区,1,3dc9befdff89006bbfa24080
3053,文云小区,118.787955,32.074905,南京市鼓楼区高云岭53号,江苏省,南京市,鼓楼区,1,3d8ece61a90af54729fc48c0
3054,狮子桥-3号,118.784293,32.073231,江苏省南京市鼓楼区狮子桥3号,江苏省,南京市,鼓楼区,1,070a227cc110739f774ff1fa
3055,"高云岭45号前,后楼",118.787795,32.074173,南京市鼓楼区高云岭47-1号,江苏省,南京市,鼓楼区,1,1c8171bc04a5412fbb17e795
3056,湖北路85号综合办公楼,118.783126,32.074417,南京市鼓楼区湖北路85号,江苏省,南京市,鼓楼区,1,923ffd00071fa5b7d82f28a3
3057,童家巷小区,118.784726,32.077346,南京市鼓楼区童家巷40号,江苏省,南京市,鼓楼区,1,907acf9d3eb1145d220220d2
3058,和信商务中心,118.788537,32.075736,南京市鼓楼区湖南路6-3和信商务5楼608号,江苏省,南京市,鼓楼区,1,61f634f64af132786a49f3a3
3059,天狮百盛商厦(湖北路店),118.784357,32.072769,南京市鼓楼区湖北路64号,江苏省,南京市,鼓楼区,1,7384d2b10d0ff1ad6b49f3bf
3060,高云岭-51号,118.788229,32.074655,江苏省南京市鼓楼区高云岭51号,江苏省,南京市,鼓楼区,1,e421bba55cc6cd2a03ec0163
