,name,type,address,lng,lat,province,city,district,Unnamed: 8
8737,天正·天御溪岸,商务住宅;住宅区;住宅小区,龙眠大道688号(地铁1号南延线南京交院站西面),118.905559,31.910348,江苏省,南京市,江宁区,
8738,文博苑,商务住宅;住宅区;住宅小区,秣陵街道文博路2号,118.911097,31.904851,江苏省,南京市,江宁区,
8739,万裕龙庭水岸家园,商务住宅;住宅区;住宅小区,龙眠大道668号,118.905205,31.90658,江苏省,南京市,江宁区,
8740,龙庭水岸家园1期,商务住宅;住宅区;住宅小区,龙眠大道,118.905808,31.906621,江苏省,南京市,江宁区,
8741,青春汇·聚别墅轰趴,商务住宅;住宅区;住宅区,大学城龙庭水岸别墅区35栋106(江宁大学城文鼎广场),118.905875,31.906822,江苏省,南京市,江宁区,
8742,王墅社区,商务住宅;住宅区;社区中心,文博路8号附近,118.910803,31.907129,江苏省,南京市,江宁区,
8743,四金学生公寓(天正二店),商务住宅;住宅区;宿舍,龙眠大道688号天正天御溪岸6-1601室,118.904261,31.911739,江苏省,南京市,江宁区,
8744,天正天御溪岸花园B区,商务住宅;住宅区;住宅小区,玉树路9号,118.906449,31.909925,江苏省,南京市,江宁区,
8745,南京文鼎雅苑单身公寓天御溪岸店,商务住宅;商务住宅相关;商务住宅相关,"龙眠大道688号(天御溪岸1-1901室,地铁1号南延线南京交院站西面)",118.905982,31.910217,江苏省,南京市,江宁区,
8746,中国药科大学江宁校区文德苑,商务住宅;住宅区;宿舍,龙眠大道639号中国药科大学江宁校区,118.9219103,31.90453351,江苏省,南京市,江宁区,
8747,南京交通职业技术学院学生公寓A座,商务住宅;住宅区;宿舍,龙眠大道629号,118.917061,31.910605,江苏省,南京市,江宁区,
8748,南京交通职业技术学院学生公寓H座,商务住宅;住宅区;宿舍,龙眠大道629号,118.915358,31.913854,江苏省,南京市,江宁区,
8749,南京交通职业技术学院学生公寓I座,商务住宅;住宅区;宿舍,龙眠大道629号,118.915542,31.913427,江苏省,南京市,江宁区,
8750,南京交通职业技术学院学生公寓E座,商务住宅;住宅区;宿舍,龙眠大道629号,118.917074,31.912163,江苏省,南京市,江宁区,
8751,南京交通职业技术学院学生公寓B座,商务住宅;住宅区;宿舍,龙眠大道629号,118.917089,31.911528,江苏省,南京市,江宁区,
8752,南京交通职业技术学院学生公寓C座,商务住宅;住宅区;宿舍,龙眠大道629号,118.916346,31.910654,江苏省,南京市,江宁区,
8753,南京交通职业技术学院学生公寓F座,商务住宅;住宅区;宿舍,龙眠大道629号,118.916547,31.913136,江苏省,南京市,江宁区,
8754,南京交通职业技术学院学生公寓D座,商务住宅;住宅区;宿舍,龙眠大道629号,118.915954,31.911036,江苏省,南京市,江宁区,
8755,江宁区淳化街道双岗社区,商务住宅;住宅区;住宅小区,东山镇淳化街道,118.939685,31.913182,江苏省,南京市,江宁区,
